style,view,shoe,speed_mph,run_folder,stride_idx,contact_ms,air_ms,stride_ms,ratio,pct_contact,knee_angle_deg,ankle_ahead_knee_px,toeoff_ankle_knee_px,cadence_spm,loading_rate,flight_arc_px,hip_osc_px
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,10,433,367,800,1.1798365122615804,54.125,159.6700007992943,3.8234605415843816,278.3363364274344,75.0,0.15135777117226146,166.4673123920262,77.24243979174054
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,11,433,367,800,1.1798365122615804,54.125,169.58192522029472,-34.442196738861185,282.23640279464985,75.0,0.3957219919439038,166.4915480582223,76.06919576562603
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,12,433,367,800,1.1798365122615804,54.125,170.61037909193684,-33.830210600335704,279.66969186034953,75.0,0.35374676423930396,164.5668833188647,76.06919576562603
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,13,433,367,800,1.1798365122615804,54.125,165.46934220875127,-14.246892463846507,280.99639489946003,75.0,0.41997402913284787,159.56433606725568,74.04173129150303
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,14,433,333,766,1.3003003003003002,56.527415143603136,168.7537446279175,-25.814153161073477,299.2870033658562,78.3289817232376,0.3825087235029574,164.53366044996426,80.29194508005769
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,15,434,333,767,1.3033033033033032,56.58409387222947,170.71630571644903,-39.18710463326602,289.6177007873358,78.22685788787484,0.6123027154855109,153.46909480611293,80.29194508005769
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,16,433,367,800,1.1798365122615804,54.125,171.25279582752867,-23.62967321801011,290.9550813665942,75.0,0.891206150706239,159.97226983143582,80.07236613660469
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,17,433,334,767,1.2964071856287425,56.45371577574967,168.36419897906094,-11.971268331208421,310.31019902692174,78.22685788787484,0.3490541925837053,159.98577083570171,82.10009838247545
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,18,433,367,800,1.1798365122615804,54.125,163.07944446488784,1.3855855170155564,281.98214200438133,75.0,0.5989949845323937,170.60060480546088,70.40923923344718
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,19,366,367,733,0.997275204359673,49.931787175989086,168.4157017760573,-19.599361094871938,278.97599602911305,81.85538881309687,0.394990232033176,159.93413946988437,77.20141929658719
