frame,timestamp_ms,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,0,994.76806640625,84.09061431884766,0.009041017852723598,1000.8147583007812,56.03949737548828,0.010911843739449978,993.5509643554688,72.9689712524414,0.0059950025752186775,1023.2938842773438,42.72505187988281,0.03173965588212013,1024.4044189453125,69.5230484008789,0.009138153865933418,1016.3428344726562,0.0,0.03795327991247177,1072.6533203125,3.8155746459960938,0.02206413634121418,1019.5977783203125,50.80455780029297,0.07232034206390381,1026.3564453125,48.03337097167969,0.047935258597135544,1033.0828857421875,132.37161254882812,0.08275756984949112,998.3270874023438,112.15850830078125,0.06869293749332428,1073.9903564453125,95.17975616455078,0.8011716604232788,1132.912353515625,102.41748046875,0.7504034042358398,925.1019897460938,436.96490478515625,0.9619261622428894,1110.486083984375,461.8075866699219,0.946068286895752,1027.0882568359375,810.2692260742188,0.954176664352417,1276.649169921875,795.696044921875,0.9426887035369873
1,33,997.24951171875,92.04290771484375,0.0039830077439546585,995.3487548828125,70.79415893554688,0.003865722334012389,992.7281494140625,80.86498260498047,0.0020399505738168955,1010.9038696289062,54.8104248046875,0.009789910167455673,1026.48046875,70.70807647705078,0.003056011628359556,1010.1765747070312,15.934707641601562,0.013285639695823193,1071.974365234375,10.5062255859375,0.011257392354309559,1001.1488037109375,59.042724609375,0.059582170099020004,1038.42431640625,50.6751708984375,0.05701599270105362,1005.2212524414062,94.78317260742188,0.11214089393615723,974.2921142578125,75.81454467773438,0.11563516408205032,1063.5128173828125,77.86875915527344,0.8112447261810303,1125.2821044921875,77.69000244140625,0.7857942581176758,949.5501708984375,439.610595703125,0.9807461500167847,1138.3798828125,459.5140686035156,0.974131166934967,947.2249145507812,826.1976928710938,0.9840747117996216,1312.2574462890625,779.453125,0.9802501201629639
2,66,1007.472900390625,90.88948059082031,0.00414951890707016,1007.379638671875,68.20992279052734,0.0042477319948375225,1001.072265625,77.31802368164062,0.002072439296171069,1026.1427001953125,55.53955078125,0.008270627819001675,1026.4102783203125,70.32250213623047,0.0023590039927512407,1027.434814453125,18.6097412109375,0.009422063827514648,1054.4185791015625,13.140518188476562,0.007171311881393194,1017.9989013671875,59.30543518066406,0.04978493973612785,1013.9613647460938,46.73103332519531,0.04231121018528938,1030.853515625,96.63775634765625,0.11456100642681122,971.1431274414062,79.72288513183594,0.10769084841012955,1070.4637451171875,66.3427734375,0.7804189920425415,1110.165283203125,67.44419860839844,0.7409107089042664,956.1422119140625,439.8540344238281,0.9819261431694031,1134.3587646484375,454.5447998046875,0.9735479354858398,915.6967163085938,831.0890502929688,0.9861258864402771,1333.540283203125,758.8196411132812,0.9819250106811523
3,100,1005.4449462890625,93.65538024902344,0.004109974019229412,1005.5797119140625,71.90746307373047,0.004133902955800295,999.2906494140625,81.81491088867188,0.0020523914135992527,1022.99658203125,58.92100524902344,0.007995094172656536,1019.5582275390625,75.74938201904297,0.0024265642277896404,1025.7652587890625,14.185455322265625,0.010923393070697784,1034.6951904296875,8.77056884765625,0.007286334875971079,1003.01171875,50.850860595703125,0.06273353099822998,999.1497802734375,40.80267333984375,0.04482714459300041,1018.0003662109375,75.53672790527344,0.13822254538536072,977.0635986328125,64.02616882324219,0.11721043288707733,1069.3262939453125,64.12234497070312,0.799511194229126,1092.610595703125,68.03388977050781,0.7477484941482544,958.5318603515625,435.9884948730469,0.9822933077812195,1113.4876708984375,457.6890869140625,0.971738338470459,920.7899780273438,826.0968017578125,0.9857208728790283,1338.6600341796875,742.1712036132812,0.9800025224685669
4,133,976.1821899414062,74.07648468017578,0.0037037639413028955,978.2613525390625,50.140159606933594,0.003855268470942974,975.6298828125,66.27951049804688,0.001700270688161254,998.5455932617188,37.52375793457031,0.007273505441844463,999.8873901367188,66.64480590820312,0.0018320453818887472,999.4129028320312,0.0,0.00683280173689127,1035.171875,0.0,0.008441817946732044,982.3603515625,33.34693908691406,0.054033275693655014,1002.4619750976562,35.29046630859375,0.07368431985378265,1003.2990112304688,75.01844787597656,0.14857982099056244,970.7719116210938,76.85655212402344,0.19166776537895203,1062.6336669921875,69.14227294921875,0.7517647743225098,1097.5924072265625,71.20921325683594,0.7479602694511414,958.4588623046875,441.9075927734375,0.9732758402824402,1071.8892822265625,455.300537109375,0.9668214321136475,950.75244140625,828.95458984375,0.9759893417358398,1342.899169921875,725.5995483398438,0.9701921343803406
5,166,971.64208984375,84.23531341552734,0.0068153985776007175,970.2015380859375,62.809661865234375,0.0065120854414999485,970.2920532226562,78.02135467529297,0.0023651618976145983,994.9180297851562,44.064605712890625,0.008422497659921646,1000.1929931640625,71.75779724121094,0.0016973698511719704,1000.7745361328125,0.0,0.01397880632430315,1035.2010498046875,0.0,0.010693312622606754,988.1336669921875,25.769851684570312,0.14669817686080933,1006.3914794921875,33.64585876464844,0.10150882601737976,981.3385620117188,80.24079895019531,0.3701319992542267,965.4188842773438,77.8553466796875,0.2975658178329468,1063.3741455078125,75.98350524902344,0.8493603467941284,1090.5323486328125,77.60627746582031,0.8072265386581421,962.6148071289062,455.08349609375,0.9845199584960938,1047.695068359375,476.1280822753906,0.9736864566802979,996.0049438476562,850.9645385742188,0.9847905039787292,1309.5615234375,709.9607543945312,0.9774135947227478
6,200,953.2201538085938,87.37548065185547,0.006120770704001188,955.491943359375,70.3165054321289,0.006818168796598911,950.8419799804688,85.05310821533203,0.0022476022131741047,993.1835327148438,50.2554931640625,0.013700723648071289,974.2742309570312,78.20883178710938,0.0020554387010633945,1014.3539428710938,6.76483154296875,0.019356921315193176,996.0253295898438,0.0,0.01793927326798439,999.2737426757812,42.70037841796875,0.11807120591402054,984.3123779296875,45.92811584472656,0.10958729684352875,984.2510986328125,82.86886596679688,0.21477535367012024,961.8058471679688,73.81196594238281,0.2056618332862854,1065.6246337890625,112.03829956054688,0.8967914581298828,1053.4007568359375,113.36581420898438,0.8800503015518188,960.8417358398438,472.7129821777344,0.9869118928909302,1016.4116821289062,494.4795227050781,0.9800307154655457,1040.8636474609375,856.111083984375,0.9869136214256287,1266.878173828125,702.8925170898438,0.9826786518096924
7,233,944.6702270507812,80.5579605102539,0.0018836241215467453,949.9149780273438,63.15852355957031,0.002814236795529723,942.7662963867188,80.43136596679688,0.0011175377294421196,982.8375244140625,42.85450744628906,0.017731141299009323,958.474609375,73.95437622070312,0.0031263711862266064,996.732666015625,0.0,0.014521896839141846,980.099853515625,0.0,0.01683001033961773,981.0421752929688,37.972137451171875,0.03616703301668167,973.5309448242188,41.36121368408203,0.04950717091560364,986.4609375,113.6744155883789,0.030274584889411926,954.3864135742188,103.89420318603516,0.04089273512363434,1064.1898193359375,117.45263671875,0.8766998052597046,1049.815673828125,118.85247802734375,0.8774227499961853,971.9020385742188,489.085693359375,0.9800808429718018,1003.669921875,491.5003356933594,0.9747222661972046,1079.3792724609375,852.8073120117188,0.9816785454750061,1238.923095703125,697.2838134765625,0.9791176319122314
8,266,826.696533203125,19.413848876953125,0.020271094515919685,837.2257690429688,0.0,0.029260199517011642,828.3638305664062,14.9981689453125,0.004857928957790136,907.2971801757812,0.0,0.0788799449801445,876.5960083007812,25.918624877929688,0.0033790681045502424,962.7947387695312,0.0,0.06153497472405434,944.3965454101562,0.0,0.06392361968755722,927.80517578125,13.834716796875,0.15454918146133423,957.5761108398438,24.700973510742188,0.15541046857833862,912.3204345703125,11.333724975585938,0.18959110975265503,916.8651123046875,13.909332275390625,0.17059606313705444,1074.15576171875,137.50575256347656,0.906237781047821,1044.388671875,130.05996704101562,0.9065151810646057,981.6157836914062,509.50390625,0.9817991852760315,928.4690551757812,463.3722839355469,0.9760598540306091,1121.553466796875,848.3878784179688,0.9691921472549438,1178.5523681640625,685.1951904296875,0.9692806005477905
9,300,905.5941162109375,84.98416900634766,0.0011153212981298566,912.3718872070312,66.3321762084961,0.0017279578605666757,903.6881103515625,84.22270202636719,0.0004888150724582374,956.9249267578125,46.74714660644531,0.02143990620970726,925.5635986328125,79.112548828125,0.0021617438178509474,977.98046875,0.892913818359375,0.03721340000629425,945.3252563476562,0.0,0.018017584457993507,887.571533203125,8.511062622070312,0.12687820196151733,923.5448608398438,19.554931640625,0.05584893748164177,925.8447875976562,8.782974243164062,0.0804605633020401,912.164794921875,26.084701538085938,0.04111785069108009,1073.9578857421875,131.45179748535156,0.8980063796043396,1021.6591186523438,128.5010986328125,0.8556610941886902,1020.6403198242188,509.3348693847656,0.9658408761024475,902.1832275390625,463.8350830078125,0.9387668967247009,1158.3543701171875,847.62451171875,0.9411107897758484,1137.7916259765625,700.218017578125,0.9244423508644104
10,333,934.6041870117188,101.27467346191406,0.0014354890445247293,939.728271484375,79.5377426147461,0.002312651602551341,933.0957641601562,96.25366973876953,0.0008371106232516468,980.6460571289062,61.85691833496094,0.019359884783625603,956.7733764648438,91.65536499023438,0.002711561042815447,1014.5839233398438,27.129478454589844,0.015323683619499207,985.4271850585938,9.691108703613281,0.019126782193779945,986.9733276367188,66.64716339111328,0.03398514539003372,1017.929443359375,59.191978454589844,0.05680336803197861,982.7822265625,131.704833984375,0.02276727557182312,982.3060913085938,128.77587890625,0.03387588635087013,1073.5323486328125,125.10031127929688,0.8728117942810059,1020.8538818359375,118.4571533203125,0.886408805847168,1064.1795654296875,496.8753967285156,0.974430501461029,898.4990844726562,446.5595397949219,0.9724256992340088,1210.836181640625,846.740478515625,0.9737377762794495,1072.6334228515625,750.0,0.9758996367454529
11,366,940.1343994140625,97.46578216552734,0.002383018145337701,945.4143676757812,75.30867004394531,0.00336077599786222,934.2479248046875,86.72183990478516,0.001110757701098919,987.6581420898438,58.02301025390625,0.018518319353461266,953.305908203125,77.53502655029297,0.002378056989982724,1018.78369140625,25.4443359375,0.021763741970062256,977.40673828125,11.06817626953125,0.02026325650513172,994.0054931640625,59.30438232421875,0.06288689374923706,1005.2010498046875,53.384307861328125,0.06787312775850296,990.3235473632812,116.78251647949219,0.05050363764166832,978.4411010742188,112.97177124023438,0.04829327017068863,1080.0926513671875,111.8792724609375,0.8810927867889404,1013.8187255859375,103.0953369140625,0.8811807632446289,1101.0882568359375,494.9524841308594,0.9757900834083557,895.7388305664062,426.1767883300781,0.9709041714668274,1256.9901123046875,829.6558837890625,0.9723995327949524,999.0836791992188,756.8373413085938,0.9751060009002686
12,400,997.152099609375,83.17952728271484,0.006916636135429144,1000.8759155273438,62.80357360839844,0.006971283815801144,991.420166015625,73.40153503417969,0.0044555398635566235,1020.4926147460938,46.185150146484375,0.01578407920897007,992.9789428710938,61.779441833496094,0.006157472729682922,1019.694580078125,9.832489013671875,0.03280126303434372,1016.9793090820312,0.0,0.017809126526117325,982.803955078125,61.806724548339844,0.0940738394856453,1020.6839599609375,48.17859649658203,0.055869463831186295,992.224365234375,106.58203125,0.0829622820019722,995.0158081054688,99.50225830078125,0.05693608894944191,1082.1812744140625,115.28910827636719,0.8247511386871338,1032.5887451171875,102.84379577636719,0.7773351073265076,1131.246826171875,466.3304443359375,0.9598469138145447,922.0314331054688,444.01922607421875,0.9436503648757935,1296.3292236328125,803.5450439453125,0.9538462162017822,933.3272705078125,787.36083984375,0.9435612559318542
